Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
87.1,-25,22.804,-47.804
87.05,-25,22.749,-47.749
87,-25,22.696,-47.696
86.95,-25,22.643,-47.643
86.9,-25,22.591,-47.591
86.85,-25,22.539,-47.539
86.8,-25,22.488,-47.488
86.75,-25,22.436,-47.436
86.7,-25,22.383,-47.383
86.65,-25,22.33,-47.33
86.6,-25,22.276,-47.276
86.55,-25,22.22,-47.22
86.5,-25,22.163,-47.163
86.45,-25,22.104,-47.104
86.4,-25,22.042,-47.042
86.35,-25,21.974,-46.974
86.3,-25,21.902,-46.902
86.25,-25,21.827,-46.827
86.2,-25,21.75,-46.75
86.15,-25,21.672,-46.672
86.1,-25,21.592,-46.592
86.05,-25,21.51,-46.51
86,-25,21.427,-46.427
85.95,-25,21.343,-46.343
85.9,-25,21.258,-46.258
85.85,-25,21.172,-46.172
85.8,-25,21.086,-46.086
85.75,-25,20.998,-45.998
85.7,-25,20.91,-45.91
85.65,-25,20.822,-45.822
85.6,-25,20.733,-45.733
85.55,-25,20.643,-45.643
85.5,-25,20.553,-45.553
85.45,-25,20.462,-45.462
85.4,-25,20.37,-45.37
85.35,-25,20.277,-45.277
85.3,-25,20.183,-45.183
85.25,-25,20.088,-45.088
85.2,-25,19.992,-44.992
85.15,-25,19.894,-44.894
85.1,-25,19.795,-44.795
85.05,-25,19.696,-44.696
85,-25,19.597,-44.597
84.95,-25,19.497,-44.497
84.9,-25,19.398,-44.398
84.85,-25,19.3,-44.3
84.8,-25,19.202,-44.202
84.75,-25,19.104,-44.104
84.7,-25,19.008,-44.008
84.65,-25,18.914,-43.914
84.6,-25,18.822,-43.822
84.55,-25,18.732,-43.732
84.5,-25,18.644,-43.644
84.45,-25,18.558,-43.558
84.4,-25,18.473,-43.473
84.35,-25,18.39,-43.39
84.3,-25,18.308,-43.308
84.25,-25,18.228,-43.228
84.2,-25,18.151,-43.151
84.15,-25,18.076,-43.076
84.1,-25,18.004,-43.004
84.05,-25,17.938,-42.938
84,-25,17.877,-42.877
83.95,-25,17.819,-42.819
83.9,-25,17.762,-42.762
83.85,-25,17.707,-42.707
83.8,-25,17.652,-42.652
83.75,-25,17.598,-42.598
83.7,-25,17.544,-42.544
83.65,-25,17.49,-42.49
83.6,-25,17.435,-42.435
83.55,-25,17.38,-42.38
83.5,-25,17.323,-42.323
83.45,-25,17.266,-42.266
83.4,-25,17.208,-42.208
83.35,-25,17.147,-42.147
83.3,-25,17.085,-42.085
83.25,-25,17.018,-42.018
83.2,-25,16.946,-41.946
83.15,-25,16.871,-41.871
83.1,-25,16.793,-41.793
83.05,-25,16.714,-41.714
83,-25,16.632,-41.632
82.95,-25,16.549,-41.549
82.9,-25,16.464,-41.464
82.85,-25,16.378,-41.378
82.8,-25,16.29,-41.29
82.75,-25,16.201,-41.201
82.7,-25,16.11,-41.11
82.65,-25,16.018,-41.018
82.6,-25,15.925,-40.925
82.55,-25,15.831,-40.831
82.5,-25,15.735,-40.735
82.45,-25,15.638,-40.638
82.4,-25,15.54,-40.54
82.35,-25,15.441,-40.441
82.3,-25,15.342,-40.342
82.25,-25,15.242,-40.242
82.2,-25,15.14,-40.14
82.15,-25,15.038,-40.038
82.1,-25,14.935,-39.935
82.05,-25,14.832,-39.832
82,-25,14.728,-39.728
81.95,-25,14.624,-39.624
81.9,-25,14.52,-39.52
81.85,-25,14.416,-39.416
81.8,-25,14.313,-39.313
81.75,-25,14.211,-39.211
81.7,-25,14.11,-39.11
81.65,-25,14.011,-39.011
81.6,-25,13.912,-38.912
81.55,-25,13.816,-38.816
81.5,-25,13.72,-38.72
81.45,-25,13.624,-38.624
81.4,-25,13.53,-38.53
81.35,-25,13.436,-38.436
81.3,-25,13.344,-38.344
81.25,-25,13.252,-38.252
81.2,-25,13.162,-38.162
81.15,-25,13.073,-38.073
81.1,-25,12.986,-37.986
81.05,-25,12.901,-37.901
81,-25,12.819,-37.819
80.95,-25,12.737,-37.737
80.9,-25,12.655,-37.655
80.85,-25,12.573,-37.573
80.8,-25,12.491,-37.491
80.75,-25,12.409,-37.409
80.7,-25,12.326,-37.326
80.65,-25,12.242,-37.242
80.6,-25,12.156,-37.156
80.55,-25,12.069,-37.069
80.5,-25,11.979,-36.979
80.45,-25,11.887,-36.887
80.4,-25,11.795,-36.795
80.35,-25,11.704,-36.704
80.3,-25,11.613,-36.613
80.25,-25,11.521,-36.521
80.2,-25,11.429,-36.429
80.15,-25,11.337,-36.337
80.1,-25,11.244,-36.244
80.05,-25,11.151,-36.151
80,-25,11.056,-36.056
79.95,-25,10.959,-35.959
79.9,-25,10.86,-35.86
79.85,-25,10.76,-35.76
79.8,-25,10.66,-35.66
79.75,-25,10.559,-35.559
79.7,-25,10.458,-35.458
79.65,-25,10.357,-35.357
79.6,-25,10.256,-35.256
79.55,-25,10.155,-35.155
